Section_num,content
11,"11. Whenever any person is convicted of an offence for which under this Sanhita theCourt has power to sentence him to rigorous imprisonment, the Court may, by its sentence,order that the offender shall be kept in solitary confinement for any portion or portions of theimprisonment to which he is sentenced, not exceeding three months in the whole, accordingto the following scale, namely:—(a) a time not exceeding one month if the term of imprisonment shall not exceedsix months;(b) a time not exceeding two months if the term of imprisonment shall exceed sixmonths and shall not exceed one year;(c) a time not exceeding three months if the term of imprisonment shall exceedone year."
12,"12. In executing a sentence of solitary confinement, such confinement shall in no caseexceed fourteen days at a time, with intervals between the periods of solitary confinement ofnot less duration than such periods; and when the imprisonment awarded shall exceed threemonths, the solitary confinement shall not exceed seven days in any one month of the wholeimprisonment awarded, with intervals between the periods of solitary confinement of notless duration than such periods."
13,"13. Whoever, having been convicted by a Court in India, of an offence punishableunder Chapter X or Chapter XVII of this Sanhita with imprisonment of either description fora term of three years or upwards, shall be guilty of any offence punishable under either ofthose Chapters with like imprisonment for the like term, shall be subject for every suchsubsequent offence to imprisonment for life, or to imprisonment of either description for aterm which may extend to ten years.CHAPTERIIIGENERAL EXCEPTIONS"
14,"14. Nothing is an offence which is done by a person who is, or who by reason of amistake of fact and not by reason of a mistake of law in good faith believes himself to be,bound by law to do it.Illustrations.(a)A, a soldier, fires on a mob by the order of his superior officer, in conformity with thecommands of the law. Ahas committed no offence.Punishment ofperson guiltyof one ofseveraloffences,judgmentstating that itis doubtful ofwhich.Limit ofsolitaryconfinement.Enhancedpunishmentfor certainoffences afterpreviousconviction.Act done by aperson bound,or by mistakeof factbelievinghimself bound,by law.Solitaryconfinement.10THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________(b) A, an officer of a Court, being ordered by that Court to arrest Y, and, after dueenquiry, believing Z to be Y, arrests Z. A has committed no offence."
15,"15. Nothing is an offence which is done by a Judge when acting judicially in theexercise of any power which is, or which in good faith he believes to be, given to him by law."
16,"16. Nothing which is done in pursuance of, or which is warranted by the judgment ororder of, a Court; if done whilst such judgment or order remains in force, is an offence,notwithstanding the Court may have had no jurisdiction to pass such judgment or order,provided the person doing the act in good faith believes that the Court had such jurisdiction."
17,"17. Nothing is an offence which is done by any person who is justified by law, or whoby reason of a mistake of fact and not by reason of a mistake of law in good faith, believeshimself to be justified by law, in doing it.Illustration.Asees Z commit what appears toAto be a murder.A, in the exercise, to the best of hisjudgment exerted in good faith, of the power which the law gives to all persons of apprehendingmurderers in the fact, seizes Z, in order to bring Z before the proper authorities. A hascommitted no offence, though it may turn out that Z was acting in self-defence."
18,"18. Nothing is an offence which is done by accident or misfortune, and without anycriminal intention or knowledge in the doing of a lawful act in a lawful manner by lawfulmeans and with proper care and caution.Illustration.Ais at work with a hatchet; the head flies off and kills a man who is standing by. Here,if there was no want of proper caution on the part of A, his act is excusable and not anoffence."
19,"19. Nothing is an offence merely by reason of its being done with the knowledge thatit is likely to cause harm, if it be done without any criminal intention to cause harm, and ingood faith for the purpose of preventing or avoiding other harm to person or property.Explanation.—It is a question of fact in such a case whether the harm to be preventedor avoided was of such a nature and so imminent as to justify or excuse the risk of doing theact with the knowledge that it was likely to cause harm.Illustrations.(a) A, the captain of a vessel, suddenly and without any fault or negligence on hispart, finds himself in such a position that, before he can stop his vessel, he must inevitablyrun down a boat B, with twenty or thirty passengers on board, unless he changes the courseof his vessel, and that, by changing his course, he must incur risk of running down a boat Cwith only two passengers on board, which he may possibly clear. Here, ifAalters his coursewithout any intention to run down the boat C and in good faith for the purpose of avoidingthe danger to the passengers in the boat B, he is not guilty of an offence, though he may rundown the boat C by doing an act which he knew was likely to cause that effect, if it be foundas a matter of fact that the danger which he intended to avoid was such as to excuse him inincurring the risk of running down the boat C.(b) A, in a great fire, pulls down houses in order to prevent the conflagration fromspreading. He does this with the intention in good faith of saving human life or property.Here, if it be found that the harm to be prevented was of such a nature and so imminent as toexcuse A’s act, A is not guilty of the offence.Act of Judgewhen actingjudicially.Act donepursuant tojudgment ororder ofCourt.Act done by aperson justified,or by mistake offact believinghimself justified,by law.Accident indoing a lawfulact.Act likely tocause harm,but donewithoutcriminalintent, and toprevent otherharm.Sec. 1]THE GAZETTE OF INDIA EXTRAORDINARY11_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________"
20,20. Nothing is an offence which is done by a child under seven years of age.
21,"21. Nothing is an offence which is done by a child above seven years of age and undertwelve years of age, who has not attained sufficient maturity of understanding to judge ofthe nature and consequences of his conduct on that occasion."
22,"22. Nothing is an offence which is done by a person who, at the time of doing it, byreason of unsoundness of mind, is incapable of knowing the nature of the act, or that he isdoing what is either wrong or contrary to law."
23,"23. Nothing is an offence which is done by a person who, at the time of doing it, is, byreason of intoxication, incapable of knowing the nature of the act, or that he is doing what iseither wrong, or contrary to law; provided that the thing which intoxicated him wasadministered to him without his knowledge or against his will."
24,"24. In cases where an act done is not an offence unless done with a particular knowledgeor intent, a person who does the act in a state of intoxication shall be liable to be dealt withas if he had the same knowledge as he would have had if he had not been intoxicated, unlessthe thing which intoxicated him was administered to him without his knowledge or againsthis will."
25,"25. Nothing which is not intended to cause death, or grievous hurt, and which is notknown by the doer to be likely to cause death or grievous hurt, is an offence by reason of anyharm which it may cause, or be intended by the doer to cause, to any person, above eighteenyears of age, who has given consent, whether express or implied, to suffer that harm; or byreason of any harm which it may be known by the doer to be likely to cause to any suchperson who has consented to take the risk of that harm.Illustration.A and Z agree to fence with each other for amusement. This agreement implies theconsent of each to suffer any harm which, in the course of such fencing, may be causedwithout foul play; and if A, while playing fairly, hurts Z,Acommits no offence."
26,"26. Nothing, which is not intended to cause death, is an offence by reason of any harmwhich it may cause, or be intended by the doer to cause, or be known by the doer to be likelyto cause, to any person for whose benefit it is done in good faith, and who has given aconsent, whether express or implied, to suffer that harm, or to take the risk of that harm.Illustration.A, a surgeon, knowing that a particular operation is likely to cause the death of Z, whosuffers under the painful complaint, but not intending to cause Z’s death, and intending, ingood faith, Z’s benefit, performs that operation on Z, with Z’s consent. Ahas committed nooffence."
27,"27. Nothing which is done in good faith for the benefit of a person under twelve yearsof age, or person of unsound mind, by, or by consent, either express or implied, of theguardian or other person having lawful charge of that person, is an offence by reason of anyharm which it may cause, or be intended by the doer to cause or be known by the doer to belikely to cause to that person:Provided that this exception shall not extend to––(a) the intentional causing of death, or to the attempting to cause death;(b) the doing of anything which the person doing it knows to be likely to causeAct of a childabove sevenand undertwelve yearsof age ofimmatureunderstanding.Act of aperson ofunsound mind.Act of a personincapable ofjudgment byreason ofintoxicationcaused againsthis will.Offencerequiring aparticularintent orknowledgecommitted byone who isintoxicated.Act notintended andnot known tobe likely tocause death orgrievous hurt,done byconsent.Act notintended tocause death,done byconsent ingood faith forperson'sbenefit.Act done ingood faith forbenefit ofchild orperson ofunsound mind,by, or byconsent ofguardian.Act of a childunder sevenyears of age.12THE GAZETTE OF INDIA EXTRAORDINARY[Part II—_____________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________________death, for any purpose other than the preventing of death or grievous hurt, or thecuring of any grievous disease or infirmity;(c) the voluntary causing of grievous hurt, or to the attempting to cause grievoushurt, unless it be for the purpose of preventing death or grievous hurt, or the curing ofany grievous disease or infirmity;(d) the abetment of any offence, to the committing of which offence it would notextend.Illustration.A, in good faith, for his child’s benefit without his child’s consent, has his child cut forthe stone by a surgeon knowing it to be likely that the operation will cause the child’s death,but not intending to cause the child’s death. A is within the exception, in as much as hisobject was the cure of the child."
28,"28. A consent is not such a consent as is intended by any section of this Sanhita,––(a) if the consent is given by a person under fear of injury, or under a misconceptionof fact, and if the person doing the act knows, or has reason to believe, that theconsent was given in consequence of such fear or misconception; or(b) if the consent is given by a person who, from unsoundness of mind, orintoxication, is unable to understand the nature and consequence of that to which hegives his consent; or(c) unless the contrary appears from the context, if the consent is given by aperson who is under twelve years of age."
29,"29. The exceptions in sections 25, 26 and 27 do not extend to acts which are offencesindependently of any harm which they may cause, or be intended to cause, or be known tobe likely to cause, to the person giving the consent, or on whose behalf the consent is given.Illustration.Causing miscarriage (unless caused in good faith for the purpose of saving the life of thewoman) is an offence independently of any harm which it may cause or be intended to cause tothe woman. Therefore, it is not an offence “by reason of such harm”; and the consent of thewoman or of her guardian to the causing of such miscarriage does not justify the act."
